priority,area,item,evidence_or_note,acceptance_criteria,owner,status
P0,Backend/auth,Access request email is not delivered,"בקשת גישה לא מתקבלת במייל Backend","Access-request submission sends email; user sees clear state; backend failures logged; route smoke/regression covered",Engineering backend,Needs reproduction
P0,Ask Arbor/memory,Save memory fails,"בשמירת הזכרון מתקבלת הודעת שגיאה","Memory save succeeds for authenticated user; retry/error state clear; saved memory appears where expected; tests cover success/failure",Engineering full-stack,Needs reproduction
P0,Child profile/personalization,Adding or switching child does not update age-personalized content,"Added Lenny age 1 but activities stayed for Dylan","New child selectable immediately; active child updates Today/My Child/activities; regression covers multi-child switch after creation",Engineering frontend/state,Needs reproduction
P0,UI shell/modals,English popups are transparent/unreadable,"באנגלית, הפופאפים עולים כשקופים ורואים את הטקסט מאחורה","Modals have opaque surfaces in EN/HE; WCAG AA contrast; visual screenshots cover modal in both locales",Design systems + frontend,Needs reproduction
P0,Grow,Growth page bug,"בעמוד צמיחה יש באג; screenshot/detail missing from export","Retrieve missing screenshot/context; reproduce; classify; route-level verification after fix",Product triage + engineering,Blocked on missing detail
P0,Support Network/layout,Footer overlays text,"ברשת תמיכה הפוטר מופיע על הטקסט...","Footer appears after content or sticky without occlusion; mobile/desktop verified; EN/HE no overlap",Frontend,Needs reproduction
P1,Login/localization,Default login language should match Israeli audience,"מסך לוג אין - אם הקהל יעד הוא ישראלי, לא כדאי שיהיה בעברית?","Product decides Hebrew-first/browser-locale/choice; login copy and dir match; language switch accessible before login",Product + design,Product decision
P1,Global shell/localization,Language selector placement follows locale direction,"Hebrew top-right, English top-left","Hebrew UI places language affordance top-right; English top-left or approved LTR location; consistent on login/dashboard",Design + frontend,Ready for design spec
P1,Onboarding/child profile,Precise age/month input,"Need exact age; months matter in development","Parent can enter birthdate or years+months; personalization derives from month-level age; copy explains why precision matters",Product + engineering,Ready for refinement
P1,Onboarding/child profile,Add child/child-girl field with privacy-sensitive wording,"להוסיף : ילד/ילדה","Product decides sex/gender/pronouns/grammar purpose; field supports Hebrew grammar; optionality/deletion documented",Product + privacy + design,Product decision
P1,Onboarding/forms,Add Child input focus/caret awkward,"Need to select with mouse; cursor does not progress normally","Inputs autofocus when appropriate; caret moves normally in HE/EN; keyboard-only form works",Frontend,Needs reproduction
P1,Today dashboard,Visual hierarchy unclear though content good,"נראות לא ברורה אבל התוכן כן טוב; button too large","Clear primary action/insight/logging CTA; CTA size matches hierarchy; reviewed in RTL/LTR",Product design,Design refinement
P1,Today/modal,Move Document Moment close button,"בתיעוד רגע להזיז את הX שמאלה","Close position follows locale/modal convention; hit target ≥44px; no overlap",Design + frontend,Ready
P1,Ask Arbor/memory review,Memory review value proposition unclear,"לא ברור הערך המוסף שמתקבל באזור סקירת זכרון","Section explains what was remembered/why it matters/how guidance improves; parent can edit/delete; empty state clear",Product + content design,Ready for copy/design
P1,My Child IA,Story tab should not be first,"הטאב של סיפור צריך להיות בסוף ולא ראשון","Product defines tab order by user-task priority; Story moves later/end unless data says otherwise; deep links/empty states work",Product design,Product decision
P1,My Child/moments,Moment categories not age-appropriate,"הוספת רגע לא מותאמת לגילו, הקטגוריות","Categories filtered/prioritized by age band; Other remains; Hebrew parent review",Product + child-development content + engineering,Ready for refinement
P1,My Child/trust,Data purpose/provenance unclear,"לא ברור המטרה ומאיפה מגיעה דאטה; לא ברור מה הפיצ'ר נותן","Each module states source; page has what-this-helps intro; trust copy avoids diagnostic overclaim",Product + content design,Ready
P1,Dashboard/navigation,Duplicate Dylan profile,"הפרופיל של דילן מופיע פעמיים...","Child profile appears once; header/sidebar avoid duplicate identity; multi-child accounts work",Design + frontend,Ready
P1,Dashboard/profile switcher,Dylan name truncated,"השם של דילן קטוע","Names render without clipping; long-name behavior defined; verified EN/HE",Frontend,Ready
P1,Dashboard/layout,Excess whitespace,"יש המון רווח מיותר...","Responsive density target defined; above-fold content improves; no regression to clutter",Design,Design refinement
P1,Search/IA,Two search fields are confusing,"מה ההבדל בין שני שדות החיפוש","Consolidate or label scopes; placeholder explains searchable content; results match scope",Product + frontend,Product decision
P1,Analytics/dashboard,40% metric unclear,"מה הכוונה 40%?","Metric has label/denominator/time period/actionability; remove if not trustworthy",Product + data,Product decision
P1,Localization/content,Contextual Hebrew translation pass,"תרגום לא כפשוטו אלא עם קונטקסט; instead/Data&Privacy/Story examples","Native Hebrew review covers nav/modals/settings/privacy/child flows; literal phrases replaced; non-diagnostic tone preserved",Content design / Hebrew reviewer,Ready for copy review
P1,My Child IA/localization,Rename/rethink Hebrew Story tab,"‘סיפור’ from What’s his story does not sound right in Hebrew","Hebrew label selected; English may remain Story with locale-specific mapping; references updated",Product + content design,Product decision
P1,Design system,Typography consistency across app,"Use one font with hierarchy across site/video","One typography token set for headings/body/captions/buttons; HE/EN font pairing tested; components use tokens",Design systems + frontend,Ready
P1,Child switcher/RTL,Dropdown arrow misaligned,"החץ של פתיחת רשימת הילדים לא ממוקם נכון","Chevron aligns in HE/EN; accessible hit target; screenshot added",Frontend,Ready
P1,Settings/privacy,Data & Privacy text bug,"יש באג בטקסט של DATA&PRIVACY","Retrieve context if needed; fix broken text/casing/overflow/untranslated string; privacy copy reviewed EN/HE",Product/content + frontend,Needs detail
P2,Today/CTA,Document Moment button oversized,"כפתור תיעוד רגע גדול מאוד","CTA proportionate, discoverable, and touch-safe",Design + frontend,Ready
P2,Visual design,Title hierarchy and color cleanup,"All titles same font/color hierarchy","Major headings follow tokens; no ad hoc title colors",Design systems,Ready
P2,Accessibility/forms,Keyboard usability sweep,"Add Child focus/caret plus modal issues","Keyboard-only happy path through login/add child/ask-save/document moment",Frontend,Ready
MKT,Video/design,Standardize video typography,"כל הכותרות צריכות להיות באותו פונט וצבע...","Title style guide applied across video screens",Marketing/design,Ready
MKT,Video screen 1,Sequence texts and make question specific,"Two texts appear together; show question then footer; use concrete bedtime example","Animation separates focal question and footer; question uses concrete parent scenario",Marketing/design,Ready
MKT,Video screen 2,Swap hierarchy,"קודם הטקסט בפוטר ואחר צילום המסך","Footer/text lead appears before app screenshot",Marketing/design,Ready
MKT,Video screen 3,Stagger text entrance,"המסך מהמם רק הטקסט צריך להיכנס בתורות","Text appears in sequential beats",Marketing/design,Ready
MKT,Video screen 4,Clarify children area for non-users,"Non-users do not know there is a children area","Title explains child/profile area without prior app knowledge",Marketing/content,Ready
MKT,Video screen 5,Approved direction,"מהמם","Preserve direction; only apply global typography if needed",Marketing/design,Accepted
